t,angle
0,0.0
1,0.06641461291330773
2,-0.20758852844712528
3,-0.5417266890685166
4,-0.8397455705295134
5,-0.9932533441676027
6,-1.2121761305162646
7,-1.4431741259241408
8,-1.4431741259241406
9,1.3208737355903541
10,1.3208737355903541
11,1.3208737355903541
12,1.3208737355903541
13,1.3208737355903535
14,1.3208737355903546
15,1.3208737355903535
