,012h,024h,036h,048h,072h,096h,120h
012h,1.0,0.81,0.63,0.55,0.42,0.19,0.1
024h,0.81,1.0,0.87,0.75,0.56,0.3,0.12
036h,0.63,0.87,1.0,0.91,0.69,0.4,0.14
048h,0.55,0.75,0.91,1.0,0.8,0.49,0.2
072h,0.42,0.56,0.69,0.8,1.0,0.69,0.38
096h,0.19,0.3,0.4,0.49,0.69,1.0,0.71
120h,0.1,0.12,0.14,0.2,0.38,0.71,1.0
