STMID,Date/Time,Lat,Lon,000hI01,012hI01,024hI01,036hI01,048hI01,072hI01,096hI01,120hI01
AL212021,31-10-2021/12:00:00,36.5,43.4,0,5.0,10.0,15.0,10.0,5.0,5.0,-5.0
AL212021,31-10-2021/18:00:00,36.4,43.5,0,5.0,10.0,5.0,5.0,0.0,5.0,-5.0
AL212021,01-11-2021/00:00:00,35.8,44.0,0,5.0,10.0,5.0,5.0,0.0,0.0,-5.0
AL212021,01-11-2021/06:00:00,34.8,44.2,0,10.0,5.0,5.0,5.0,0.0,0.0,-5.0
AL212021,01-11-2021/12:00:00,34.1,43.4,0,5.0,5.0,5.0,5.0,5.0,0.0,0.0
AL212021,01-11-2021/18:00:00,34.1,42.6,0,5.0,5.0,5.0,0.0,5.0,0.0,5.0
AL212021,02-11-2021/00:00:00,34.4,41.9,0,5.0,5.0,5.0,0.0,0.0,0.0,5.0
AL212021,02-11-2021/06:00:00,34.9,41.3,0,10.0,10.0,5.0,5.0,0.0,0.0,5.0
AL022022,01-07-2022/06:00:00,11.6,78.5,0,0.0,10.0,-10.0,-10.0,-15.0,-30.0,-10.0
AL022022,01-07-2022/12:00:00,11.3,80.2,0,-5.0,0.0,-10.0,-10.0,-15.0,-35.0,-15.0
AL022022,01-07-2022/18:00:00,11.2,81.8,0,0.0,0.0,0.0,-5.0,-20.0,-25.0,-15.0
AL022022,02-07-2022/00:00:00,10.9,83.1,0,0.0,-10.0,-5.0,-5.0,-20.0,-15.0,-5.0
AL022022,02-07-2022/06:00:00,11.1,84.5,0,-10.0,-10.0,-15.0,-15.0,-30.0,-10.0,-5.0
AL052022,01-09-2022/06:00:00,38.1,45.2,0,-10.0,-15.0,-10.0,5.0,5.0,5.0,10.0
AL052022,01-09-2022/12:00:00,38.1,44.8,0,-15.0,-20.0,-10.0,5.0,5.0,5.0,10.0
AL052022,01-09-2022/18:00:00,38.0,44.4,0,0.0,5.0,15.0,20.0,10.0,5.0,10.0
AL052022,02-09-2022/00:00:00,37.9,44.1,0,0.0,5.0,15.0,15.0,10.0,10.0,10.0
AL052022,02-09-2022/06:00:00,37.8,43.8,0,0.0,10.0,15.0,10.0,10.0,15.0,5.0
AL052022,02-09-2022/12:00:00,37.8,43.6,0,5.0,15.0,15.0,15.0,10.0,15.0,0.0
AL052022,02-09-2022/18:00:00,37.9,43.5,0,5.0,5.0,0.0,0.0,0.0,5.0,-5.0
AL052022,03-09-2022/00:00:00,38.0,43.6,0,5.0,5.0,0.0,0.0,5.0,5.0,0.0
AL052022,03-09-2022/06:00:00,38.0,43.8,0,0.0,-5.0,-5.0,0.0,10.0,0.0,5.0
AL062022,03-09-2022/00:00:00,18.3,59.8,0,-5.0,-5.0,-5.0,-10.0,-20.0,-30.0,-45.0
AL062022,03-09-2022/06:00:00,18.6,60.9,0,-10.0,-5.0,-10.0,-15.0,-10.0,-25.0,-35.0
AL062022,03-09-2022/12:00:00,18.9,61.9,0,-5.0,-5.0,-10.0,-10.0,-5.0,-20.0,-25.0
AL062022,03-09-2022/18:00:00,19.2,62.9,0,0.0,0.0,-5.0,-5.0,-5.0,-15.0,-5.0
AL062022,04-09-2022/00:00:00,19.4,63.6,0,0.0,0.0,-5.0,-5.0,-10.0,-20.0,0.0
AL062022,04-09-2022/06:00:00,19.5,64.1,0,-5.0,-5.0,-10.0,0.0,-15.0,-20.0,5.0
AL062022,04-09-2022/12:00:00,19.8,64.6,0,0.0,0.0,0.0,10.0,0.0,0.0,15.0
AL062022,04-09-2022/18:00:00,20.0,65.0,0,-5.0,-5.0,5.0,0.0,-5.0,5.0,15.0
AL062022,05-09-2022/00:00:00,20.3,65.3,0,-5.0,-5.0,5.0,-5.0,-15.0,10.0,10.0
AL062022,05-09-2022/06:00:00,20.8,65.4,0,-10.0,0.0,-5.0,-15.0,-15.0,10.0,15.0
AL062022,05-09-2022/12:00:00,21.5,65.2,0,0.0,5.0,-10.0,-10.0,-5.0,10.0,25.0
AL072022,14-09-2022/12:00:00,16.4,49.1,0,-10.0,-5.0,-10.0,-5.0,-10.0,-25.0,-45.0
AL072022,14-09-2022/18:00:00,16.6,50.1,0,-10.0,-10.0,-10.0,-5.0,-10.0,-35.0,-45.0
AL072022,15-09-2022/00:00:00,16.6,51.3,0,0.0,0.0,5.0,0.0,0.0,-25.0,-45.0
AL072022,15-09-2022/06:00:00,16.5,52.4,0,-5.0,0.0,5.0,0.0,-5.0,-30.0,-45.0
AL072022,15-09-2022/12:00:00,16.4,53.6,0,-5.0,5.0,0.0,0.0,-10.0,-20.0,-40.0
AL072022,15-09-2022/18:00:00,16.3,54.8,0,0.0,5.0,0.0,0.0,-20.0,-25.0,-40.0
AL072022,16-09-2022/00:00:00,16.1,56.2,0,5.0,0.0,5.0,5.0,-20.0,-40.0,-50.0
AL072022,16-09-2022/06:00:00,15.8,57.5,0,5.0,0.0,5.0,0.0,-20.0,-45.0,-60.0
AL072022,16-09-2022/12:00:00,15.8,58.8,0,0.0,0.0,5.0,-10.0,-15.0,-45.0,-50.0
AL072022,16-09-2022/18:00:00,16.3,60.4,0,0.0,0.0,0.0,-15.0,-30.0,-40.0,-45.0
AL072022,17-09-2022/00:00:00,16.4,61.6,0,5.0,5.0,-10.0,-15.0,-35.0,-45.0,-40.0
AL072022,17-09-2022/06:00:00,16.3,62.6,0,5.0,5.0,-15.0,-15.0,-35.0,-45.0,-35.0
AL072022,17-09-2022/12:00:00,16.4,63.3,0,5.0,-5.0,-10.0,-5.0,-20.0,-30.0,-25.0
AL072022,17-09-2022/18:00:00,16.5,64.0,0,5.0,-10.0,-15.0,-15.0,-20.0,-25.0,-20.0
AL072022,18-09-2022/00:00:00,16.5,64.7,0,-5.0,-10.0,-10.0,-25.0,-30.0,-25.0,-20.0
AL072022,18-09-2022/06:00:00,16.9,65.5,0,-10.0,-15.0,-15.0,-20.0,-30.0,-20.0,-20.0
AL072022,18-09-2022/12:00:00,17.2,66.2,0,0.0,0.0,-15.0,-10.0,-15.0,-15.0,-15.0
AL072022,18-09-2022/18:00:00,17.8,66.9,0,0.0,0.0,-10.0,0.0,-5.0,-10.0,-15.0
AL082022,20-09-2022/12:00:00,32.5,45.8,0,-10.0,-15.0,-10.0,-5.0,-5.0,10.0,0.0
AL082022,20-09-2022/18:00:00,34.0,45.0,0,-15.0,-10.0,-5.0,-5.0,0.0,5.0,5.0
AL092022,23-09-2022/06:00:00,13.7,68.1,0,5.0,0.0,-5.0,0.0,0.0,-10.0,-25.0
AL092022,23-09-2022/12:00:00,14.2,69.3,0,0.0,-5.0,0.0,5.0,5.0,-10.0,-40.0
AL092022,23-09-2022/18:00:00,14.6,70.6,0,0.0,-5.0,0.0,10.0,0.0,-10.0,-35.0
AL092022,24-09-2022/00:00:00,14.7,71.7,0,0.0,5.0,10.0,10.0,5.0,-5.0,-5.0
AL092022,24-09-2022/06:00:00,14.7,72.9,0,5.0,10.0,20.0,5.0,-5.0,-20.0,20.0
AL092022,24-09-2022/12:00:00,14.5,74.4,0,5.0,15.0,20.0,15.0,0.0,-35.0,35.0
AL092022,24-09-2022/18:00:00,14.4,75.8,0,10.0,20.0,10.0,15.0,10.0,-20.0,25.0
AL092022,25-09-2022/00:00:00,14.6,77.2,0,15.0,20.0,15.0,15.0,15.0,15.0,10.0
AL092022,25-09-2022/06:00:00,14.6,78.3,0,15.0,5.0,10.0,5.0,0.0,40.0,5.0
AL092022,25-09-2022/12:00:00,15.0,79.4,0,5.0,0.0,5.0,5.0,-25.0,35.0,-10.0
AL092022,25-09-2022/18:00:00,15.8,80.1,0,-15.0,-10.0,-10.0,0.0,-25.0,20.0,-20.0
