STMID,Date/Time,Lat,Lon,000hA01,012hA01,024hA01,036hA01,048hA01,072hA01,096hA01,120hA01
AL292020,07-11-2020/12:00:00,19.1,83.2,0,-9.6,5.8,-60.2,-152.3,-184.7,40.0,-102.4
AL292020,07-11-2020/18:00:00,19.8,81.5,0,25.7,-13.4,-82.2,-165.4,206.4,-20.6,-269.7
AL292020,08-11-2020/00:00:00,20.4,80.2,0,-12.0,-42.9,-81.4,-145.4,98.6,-121.0,-352.9
AL292020,08-11-2020/06:00:00,21.1,79.5,0,-28.2,-26.7,-53.9,-97.6,-15.0,-195.3,-459.0
AL302020,10-11-2020/00:00:00,28.8,41.0,0,-30.9,-26.9,-26.8,-75.1,-110.3,-111.8,-86.0
AL302020,10-11-2020/06:00:00,28.8,39.5,0,-58.0,-43.5,-80.8,-63.7,-66.4,-83.0,-93.4
AL312020,13-11-2020/12:00:00,14.4,73.7,0,3.1,-12.2,58.4,64.7,79.9,58.1,-45.7
AL052021,30-06-2021/18:00:00,9.4,42.8,0,-62.9,-81.6,-69.8,-66.7,-91.5,-1.3,17.6
AL052021,01-07-2021/00:00:00,9.3,45.3,0,-27.6,-29.5,-11.2,-5.5,-24.4,31.1,83.1
AL052021,01-07-2021/06:00:00,9.4,47.7,0,-41.2,-45.2,-44.2,-70.9,-53.3,5.0,34.5
AL052021,01-07-2021/12:00:00,9.9,50.2,0,-11.4,-1.0,-22.7,-42.1,22.4,11.6,54.2
AL052021,01-07-2021/18:00:00,10.7,52.6,0,7.0,-5.4,-45.0,-57.9,31.7,36.5,65.2
AL052021,02-07-2021/00:00:00,11.5,55.0,0,-8.9,-20.4,-35.5,-60.1,51.3,43.7,92.0
AL052021,02-07-2021/12:00:00,13.0,59.8,0,-12.9,-33.3,-42.1,17.3,14.6,77.2,82.4
AL052021,02-07-2021/18:00:00,13.8,62.4,0,-27.9,-47.4,-30.9,8.5,20.1,59.9,87.5
AL052021,03-07-2021/00:00:00,14.7,65.1,0,-37.7,-50.3,-1.1,11.3,33.3,60.3,93.8
AL052021,03-07-2021/06:00:00,15.7,67.9,0,-6.1,16.1,52.8,50.0,49.9,17.7,87.2
AL052021,03-07-2021/12:00:00,16.6,70.3,0,-15.8,40.8,55.6,32.8,71.5,50.0,113.5
AL052021,03-07-2021/18:00:00,17.2,72.5,0,36.3,64.2,52.7,47.7,84.5,111.2,110.3
AL052021,04-07-2021/00:00:00,17.6,74.4,0,59.8,65.3,50.7,67.8,79.0,103.0,122.4
AL052021,04-07-2021/06:00:00,18.0,75.5,0,-1.7,16.4,20.7,44.5,-6.9,66.5,90.2
AL052021,04-07-2021/12:00:00,18.5,76.5,0,-13.3,-15.6,12.2,2.6,-32.8,-2.7,-9.2
AL072021,13-08-2021/12:00:00,15.2,48.7,0,-45.2,-72.8,-117.8,-134.4,-102.3,-128.2,-155.1
AL072021,13-08-2021/18:00:00,15.3,50.8,0,-3.9,-57.0,-100.9,-93.7,-51.5,-139.5,-144.0
AL072021,14-08-2021/00:00:00,15.4,52.8,0,-23.7,-78.0,-103.7,-102.9,-151.5,-242.4,-328.0
AL072021,14-08-2021/06:00:00,15.7,54.8,0,-57.5,-107.3,-105.1,-126.5,-179.8,-191.8,-332.6
AL072021,14-08-2021/12:00:00,16.1,57.2,0,-60.1,-86.6,-92.5,-104.7,-162.3,-143.8,-317.4
AL072021,14-08-2021/18:00:00,16.2,59.5,0,-24.1,-33.8,-60.7,-49.3,-109.3,-110.6,-223.2
AL072021,15-08-2021/00:00:00,16.5,61.7,0,-42.6,-58.3,-75.5,-124.6,-158.1,-197.3,-294.8
AL072021,15-08-2021/06:00:00,16.7,63.7,0,-3.3,-35.3,-37.3,-117.5,-60.1,-183.6,-373.0
AL072021,15-08-2021/12:00:00,16.9,65.4,0,-14.0,-45.5,-79.2,-97.3,-44.5,-136.6,-294.3
AL072021,15-08-2021/18:00:00,17.0,66.7,0,-44.0,-29.8,-86.1,-81.1,-23.9,-88.5,-204.6
AL072021,16-08-2021/00:00:00,17.1,68.1,0,-24.6,-19.4,-32.4,-28.3,-35.9,-82.6,-104.7
AL072021,16-08-2021/06:00:00,17.2,69.6,0,28.9,2.4,4.8,28.2,7.9,-52.6,-68.2
AL072021,16-08-2021/12:00:00,17.5,70.8,0,12.6,11.4,22.7,50.8,32.0,1.0,-79.1
AL082021,16-08-2021/00:00:00,33.4,62.7,0,-48.0,-31.4,-9.4,11.2,-52.4,-163.3,144.0
AL082021,16-08-2021/06:00:00,32.5,62.7,0,-25.1,-4.8,20.3,5.1,-72.0,-163.1,153.4
AL082021,16-08-2021/12:00:00,31.6,62.7,0,10.4,15.5,13.6,-8.8,-67.7,-154.8,56.1
AL082021,16-08-2021/18:00:00,31.1,62.9,0,7.9,14.5,4.3,-12.6,-50.6,14.1,-2.8
AL082021,17-08-2021/00:00:00,30.8,63.1,0,4.5,13.0,-2.3,-19.0,-86.6,93.2,-81.7
AL082021,17-08-2021/06:00:00,30.6,63.3,0,22.0,18.8,-2.3,-31.0,-89.6,145.2,-214.1
AL082021,17-08-2021/12:00:00,30.4,63.6,0,28.2,13.1,1.1,-15.6,-84.3,99.2,-237.9
AL082021,17-08-2021/18:00:00,30.3,63.9,0,8.5,-7.4,-29.7,-46.8,41.7,46.5,-291.5
AL082021,18-08-2021/00:00:00,30.2,64.5,0,-9.5,-16.6,-26.1,-43.8,33.6,-34.6,-371.9
AL082021,18-08-2021/06:00:00,30.1,65.3,0,-10.3,-19.3,-19.3,-47.8,49.4,-112.0,-366.6
AL082021,18-08-2021/12:00:00,30.0,66.2,0,-8.0,-10.4,-28.3,-47.7,59.9,-173.2,289.7
AL092021,26-08-2021/12:00:00,16.5,78.9,0,2.0,5.3,8.6,11.7,-22.0,-54.4,-137.3
AL092021,26-08-2021/18:00:00,17.4,79.5,0,18.3,16.3,11.8,12.2,-12.7,-36.2,-135.9
AL092021,27-08-2021/00:00:00,18.3,80.2,0,-13.8,-24.8,-17.5,-37.5,-52.4,-76.7,-197.1
AL092021,27-08-2021/06:00:00,19.4,80.9,0,10.2,4.7,-5.7,-16.4,-25.4,-69.9,-236.1
AL122021,31-08-2021/18:00:00,11.5,20.6,0,-40.3,-54.3,-61.9,-86.5,-141.3,-166.7,-135.6
AL122021,01-09-2021/00:00:00,11.9,22.5,0,-33.7,-45.7,-70.0,-92.8,-135.3,-127.5,-142.5
AL122021,01-09-2021/06:00:00,12.2,24.5,0,-52.6,-62.0,-80.0,-96.1,-112.0,-80.5,-61.7
AL122021,01-09-2021/12:00:00,12.4,26.5,0,20.9,-0.7,-19.0,-51.4,-41.5,-4.1,3.1
AL122021,01-09-2021/18:00:00,12.5,28.4,0,7.0,-12.2,-26.0,-29.6,-18.0,-12.4,36.4
AL122021,02-09-2021/00:00:00,12.7,30.0,0,-3.2,-14.7,-30.8,-29.1,-19.9,-14.3,40.6
AL122021,02-09-2021/06:00:00,13.0,31.6,0,-19.4,-29.6,-27.0,-20.8,-12.7,-5.4,44.4
AL122021,02-09-2021/12:00:00,13.3,33.3,0,-1.1,-17.1,-3.2,-2.6,12.4,25.3,48.6
AL122021,03-09-2021/00:00:00,13.9,36.7,0,-4.6,-3.2,-5.2,-3.5,14.4,40.6,69.3
AL122021,03-09-2021/12:00:00,14.4,40.0,0,9.8,2.6,1.1,8.3,36.5,60.2,94.3
AL122021,03-09-2021/18:00:00,14.7,41.4,0,5.2,-2.8,-1.5,-4.2,39.4,53.7,78.4
AL122021,04-09-2021/00:00:00,15.2,42.7,0,-5.2,-6.0,-8.1,-5.2,32.5,58.9,75.6
AL122021,04-09-2021/06:00:00,15.8,44.0,0,5.6,4.6,4.1,21.2,44.8,52.3,61.9
AL122021,04-09-2021/18:00:00,17.0,46.5,0,4.6,4.1,7.3,26.4,33.5,39.5,30.9
AL122021,05-09-2021/12:00:00,19.2,49.4,0,-12.0,9.4,4.1,14.2,11.1,-19.9,-76.6
AL122021,05-09-2021/18:00:00,20.0,50.3,0,8.7,15.5,26.5,35.1,20.5,-13.0,-103.1
AL122021,06-09-2021/00:00:00,20.7,51.2,0,7.8,16.3,28.3,36.1,12.9,-3.6,-91.3
AL122021,06-09-2021/06:00:00,21.2,52.0,0,21.4,30.2,35.1,41.8,17.2,14.2,-141.5
AL182021,22-09-2021/18:00:00,10.0,33.1,0,-2.3,-26.8,-34.1,-54.2,-73.8,-28.1,12.6
AL182021,23-09-2021/00:00:00,10.2,34.4,0,-38.1,-42.6,-54.1,-66.7,-74.3,-13.7,-5.7
AL182021,23-09-2021/06:00:00,10.4,36.0,0,-35.8,-41.5,-57.1,-62.9,-58.7,-12.1,18.8
AL182021,23-09-2021/12:00:00,10.7,37.6,0,1.9,-3.2,-22.0,-29.9,-35.0,15.6,55.1
AL182021,23-09-2021/18:00:00,10.9,39.0,0,18.5,-5.7,-22.4,-48.4,-29.4,-18.7,30.6
AL182021,24-09-2021/00:00:00,11.1,40.3,0,-7.5,-32.5,-43.6,-75.3,-55.4,-39.9,9.9
AL182021,24-09-2021/06:00:00,11.4,41.6,0,-19.9,-31.9,-50.4,-52.3,-38.8,-20.1,-1.7
AL182021,24-09-2021/12:00:00,11.6,43.0,0,-6.3,-12.4,-38.3,-30.2,-8.2,2.1,17.4
AL182021,24-09-2021/18:00:00,11.9,44.3,0,5.3,-7.8,-15.2,-17.7,-5.2,-8.7,1.2
AL182021,25-09-2021/00:00:00,12.3,45.4,0,10.1,-7.3,-5.8,1.1,-10.7,-0.7,1.0
AL182021,25-09-2021/06:00:00,12.6,46.3,0,-5.5,-7.5,-0.3,3.2,-11.1,-19.5,-28.7
AL182021,25-09-2021/12:00:00,12.8,47.2,0,-7.8,-13.0,-2.9,-4.1,-24.0,-29.8,-55.9
AL182021,25-09-2021/18:00:00,13.1,48.1,0,1.9,16.7,15.8,9.6,3.8,21.2,-4.4
AL182021,26-09-2021/00:00:00,13.4,48.8,0,-1.6,23.4,19.0,3.3,10.6,12.7,-24.6
AL182021,26-09-2021/06:00:00,13.6,49.4,0,20.8,28.2,22.3,8.6,9.2,12.3,-65.9
AL182021,26-09-2021/12:00:00,13.8,50.0,0,15.6,26.5,2.3,6.4,4.6,-5.6,-95.8
AL182021,26-09-2021/18:00:00,14.1,50.3,0,-4.9,-7.0,-15.8,-17.2,-16.0,-40.1,-156.0
AL182021,27-09-2021/00:00:00,14.5,50.6,0,-8.2,-17.0,-19.7,-24.3,-12.1,-49.7,-152.9
AL182021,27-09-2021/12:00:00,15.4,51.7,0,-8.3,-9.4,-9.3,-4.5,-7.8,-86.1,-103.1
AL182021,27-09-2021/18:00:00,15.9,52.3,0,3.4,-1.2,3.6,4.0,-1.5,-84.0,-13.3
AL182021,28-09-2021/06:00:00,16.9,53.5,0,6.9,7.9,12.2,20.5,-13.1,-35.1,111.4
AL182021,29-09-2021/00:00:00,18.1,55.3,0,4.5,4.3,0.3,-17.8,-103.0,-39.1,44.5
AL182021,29-09-2021/12:00:00,19.1,56.6,0,4.2,-9.6,-22.1,-48.2,-92.9,-112.4,-285.8
AL182021,29-09-2021/18:00:00,19.7,57.3,0,12.3,4.8,-15.0,-54.0,-77.0,-60.2,-231.2
AL182021,30-09-2021/00:00:00,20.3,58.0,0,-4.8,-13.2,-36.4,-73.6,-109.7,-129.6,-426.1
AL212021,31-10-2021/00:00:00,36.5,46.0,0,-17.5,14.0,-1.9,-25.4,-27.1,72.0,237.1
AL212021,31-10-2021/06:00:00,36.6,44.2,0,-5.8,-40.7,29.7,16.5,53.5,120.0,64.7
AL212021,31-10-2021/12:00:00,36.5,43.4,0,-37.6,-1.0,41.7,26.3,73.4,102.0,-209.0
AL212021,31-10-2021/18:00:00,36.4,43.5,0,-62.8,19.7,36.8,38.3,85.1,138.8,-307.3
AL212021,01-11-2021/00:00:00,35.8,44.0,0,-40.3,6.2,1.7,28.2,42.0,88.0,-332.6
AL212021,01-11-2021/06:00:00,34.8,44.2,0,-34.7,-27.7,-8.7,27.7,30.0,38.9,-258.8
AL212021,01-11-2021/12:00:00,34.1,43.4,0,-12.7,-35.6,-4.9,33.2,36.0,-73.8,-397.1
AL212021,01-11-2021/18:00:00,34.1,42.6,0,-8.5,-10.6,13.8,35.5,51.8,-196.9,210.9
AL212021,02-11-2021/00:00:00,34.4,41.9,0,-15.5,1.1,23.0,42.0,55.0,-338.3,504.6
AL212021,02-11-2021/06:00:00,34.9,41.3,0,-3.7,14.9,29.6,36.0,15.9,-309.6,357.8
AL022022,01-07-2022/06:00:00,11.6,78.5,0,-23.9,-27.4,-53.0,-78.2,-130.2,-111.1,-94.0
AL022022,01-07-2022/12:00:00,11.3,80.2,0,-7.1,-18.5,-53.0,-81.8,-117.2,-91.7,-68.9
AL022022,01-07-2022/18:00:00,11.2,81.8,0,-5.0,-29.4,-56.4,-77.6,-106.8,-92.8,-80.6
AL022022,02-07-2022/00:00:00,10.9,83.1,0,-7.2,-23.5,-60.0,-76.3,-78.6,-109.4,-98.5
AL022022,02-07-2022/06:00:00,11.1,84.5,0,-17.7,-57.6,-88.0,-96.4,-80.7,-66.2,-79.9
AL052022,01-09-2022/06:00:00,38.1,45.2,0,-12.6,-26.8,-5.2,23.6,-9.4,30.0,-13.4
AL052022,01-09-2022/18:00:00,38.0,44.4,0,-24.4,-12.9,23.6,4.7,22.5,-3.1,-25.5
AL052022,02-09-2022/00:00:00,37.9,44.1,0,-9.5,7.0,4.7,-15.3,21.4,-11.4,14.3
AL052022,02-09-2022/06:00:00,37.8,43.8,0,-1.8,-4.7,-18.9,-33.1,22.1,-2.6,15.1
AL052022,02-09-2022/12:00:00,37.8,43.6,0,-8.8,-33.1,-48.7,5.1,6.5,17.6,-0.1
AL052022,02-09-2022/18:00:00,37.9,43.5,0,-4.7,-18.9,-33.1,1.2,-52.7,-15.3,-99.6
AL052022,03-09-2022/00:00:00,38.0,43.6,0,-14.2,-22.6,-10.4,8.7,-66.7,-61.7,-80.6
AL052022,03-09-2022/06:00:00,38.0,43.8,0,-23.6,-28.4,16.2,2.3,-52.1,-34.1,-85.6
AL062022,03-09-2022/00:00:00,18.3,59.8,0,5.4,12.6,46.2,68.5,-18.0,-54.7,-135.2
AL062022,03-09-2022/06:00:00,18.6,60.9,0,-5.4,27.1,46.7,33.9,-13.7,-48.3,-132.0
AL062022,03-09-2022/12:00:00,18.9,61.9,0,1.7,35.1,46.0,1.6,55.5,-7.0,-93.1
AL062022,03-09-2022/18:00:00,19.2,62.9,0,13.5,34.0,35.7,12.0,12.0,-29.0,-86.8
AL062022,04-09-2022/00:00:00,19.4,63.6,0,39.7,57.0,-8.5,12.0,-2.8,-73.5,-151.7
AL062022,04-09-2022/18:00:00,20.0,65.0,0,15.6,18.0,25.4,42.0,24.1,-65.7,-201.8
AL062022,05-09-2022/06:00:00,20.8,65.4,0,-18.0,-8.5,6.0,5.9,-24.0,-116.5,-476.5
AL072022,14-09-2022/12:00:00,16.4,49.1,0,11.5,15.1,10.0,28.8,82.6,139.6,112.6
AL072022,14-09-2022/18:00:00,16.6,50.1,0,-8.0,-15.1,-29.4,-12.5,38.1,83.4,58.8
AL072022,15-09-2022/00:00:00,16.6,51.3,0,8.9,-3.1,5.8,-1.0,63.1,54.9,31.7
AL072022,15-09-2022/06:00:00,16.5,52.4,0,-7.8,-25.2,-19.8,-22.7,52.7,17.4,1.1
AL072022,15-09-2022/12:00:00,16.4,53.6,0,-4.4,-5.8,-20.3,12.7,35.6,13.0,-24.8
AL072022,15-09-2022/18:00:00,16.3,54.8,0,-18.2,-29.1,-31.7,11.0,4.5,-20.0,-63.5
AL072022,16-09-2022/00:00:00,16.1,56.2,0,5.8,-10.9,26.3,45.9,31.8,-22.1,-81.3
AL072022,16-09-2022/06:00:00,15.8,57.5,0,-29.3,-5.7,35.9,43.5,43.9,-23.5,-90.0
AL072022,16-09-2022/12:00:00,15.8,58.8,0,-24.0,13.1,51.7,60.0,10.5,-46.8,-106.1
AL072022,16-09-2022/18:00:00,16.3,60.4,0,8.3,57.3,75.3,71.2,29.6,-36.3,-92.8
AL072022,17-09-2022/00:00:00,16.4,61.6,0,39.4,63.1,77.4,49.0,23.5,-35.6,-82.9
AL072022,17-09-2022/06:00:00,16.3,62.6,0,47.3,46.2,30.0,32.2,-3.8,-30.0,-57.9
AL072022,17-09-2022/12:00:00,16.4,63.3,0,-5.8,-8.0,-24.9,-2.3,-32.1,-10.0,-4.4
AL072022,17-09-2022/18:00:00,16.5,64.0,0,11.1,3.5,-14.1,10.2,-12.6,22.8,43.3
AL072022,18-09-2022/12:00:00,17.2,66.2,0,-30.9,-12.9,-23.6,-19.0,31.6,53.5,42.0
AL072022,18-09-2022/18:00:00,17.8,66.9,0,-6.0,12.7,3.3,0.9,40.7,54.2,-8.6
AL082022,20-09-2022/12:00:00,32.5,45.8,0,-68.0,-91.9,-115.6,-163.0,-156.8,36.6,117.7
AL082022,20-09-2022/18:00:00,34.0,45.0,0,-25.6,-17.9,-80.2,-109.9,-100.9,5.0,-130.9
AL092022,23-09-2022/06:00:00,13.7,68.1,0,-25.8,-17.4,-48.1,-69.5,10.6,31.3,51.3
AL092022,23-09-2022/12:00:00,14.2,69.3,0,-1.1,-18.9,-47.2,-36.3,23.6,54.0,48.1
AL092022,23-09-2022/18:00:00,14.6,70.6,0,11.6,-25.8,-40.5,31.0,32.8,53.2,15.3
AL092022,24-09-2022/00:00:00,14.7,71.7,0,-30.4,-47.2,-30.9,10.1,10.8,28.7,21.8
AL092022,24-09-2022/06:00:00,14.7,72.9,0,-35.6,-52.2,6.1,-3.0,7.1,15.4,-18.1
AL092022,24-09-2022/12:00:00,14.5,74.4,0,-23.9,-16.5,2.5,1.8,6.0,-14.2,-54.5
AL092022,24-09-2022/18:00:00,14.4,75.8,0,5.8,2.9,4.8,-12.2,-50.4,-74.6,-140.8
AL092022,25-09-2022/00:00:00,14.6,77.2,0,0.9,-6.0,-16.8,-35.1,-59.0,-119.3,-161.2
AL092022,25-09-2022/06:00:00,14.6,78.3,0,-8.3,-18.3,-28.5,-38.7,-35.5,-143.9,-114.9
AL092022,25-09-2022/12:00:00,15.0,79.4,0,-7.3,-26.8,-35.1,-36.0,-54.2,-127.4,-89.1
AL092022,25-09-2022/18:00:00,15.8,80.1,0,-25.7,-28.9,-38.9,-43.2,-65.9,-162.5,-119.3
