,012h,024h,036h,048h,072h,096h,120h
012h,1.0,0.71,0.48,0.38,0.22,0.13,0.09
024h,0.71,1.0,0.8,0.61,0.38,0.26,0.18
036h,0.48,0.8,1.0,0.85,0.5,0.36,0.29
048h,0.38,0.61,0.85,1.0,0.59,0.41,0.37
072h,0.22,0.38,0.5,0.59,1.0,0.61,0.44
096h,0.13,0.26,0.36,0.41,0.61,1.0,0.55
120h,0.09,0.18,0.29,0.37,0.44,0.55,1.0
