STMID,Date/Time,Lat,Lon,000hC01,012hC01,024hC01,036hC01,048hC01,072hC01,096hC01,120hC01
AL072021,15-08-2021/18:00:00,17.0,66.7,0,27.1,35.8,77.8,120.9,162.6,235.6,264.0
AL072021,16-08-2021/00:00:00,17.1,68.1,0,18.9,49.5,84.2,126.0,152.4,181.7,239.2
AL072021,16-08-2021/06:00:00,17.2,69.6,0,-3.8,35.9,59.8,79.3,101.8,110.5,163.3
AL072021,16-08-2021/12:00:00,17.5,70.8,0,17.2,34.6,66.0,38.5,79.4,114.5,148.2
AL082021,16-08-2021/00:00:00,33.4,62.7,0,5.1,29.8,45.8,51.0,79.5,157.7,274.5
AL082021,16-08-2021/06:00:00,32.5,62.7,0,19.4,31.3,33.6,37.1,81.9,171.8,212.1
AL082021,16-08-2021/12:00:00,31.6,62.7,0,-6.0,-3.2,-15.7,-13.2,36.0,107.9,168.9
AL082021,17-08-2021/00:00:00,30.8,63.1,0,11.1,14.7,17.9,32.3,106.6,194.2,250.8
AL082021,17-08-2021/06:00:00,30.6,63.3,0,14.9,14.8,17.9,42.1,128.2,183.1,228.2
AL082021,17-08-2021/12:00:00,30.4,63.6,0,17.7,19.8,37.4,54.0,122.6,122.2,208.7
AL082021,17-08-2021/18:00:00,30.3,63.9,0,13.4,17.2,36.3,47.7,131.6,97.1,180.5
AL082021,18-08-2021/00:00:00,30.2,64.5,0,-7.3,1.9,18.0,29.2,88.7,86.9,45.9
AL082021,18-08-2021/06:00:00,30.1,65.3,0,-1.3,14.0,14.3,43.2,64.7,89.1,-107.4
AL082021,18-08-2021/12:00:00,30.0,66.2,0,10.3,18.0,27.4,53.6,35.8,49.5,-150.5
AL092021,26-08-2021/12:00:00,16.5,78.9,0,-12.7,-17.1,-21.3,-11.5,-47.6,-62.0,-47.7
AL092021,26-08-2021/18:00:00,17.4,79.5,0,4.4,-1.6,5.8,-17.9,-12.7,-33.3,-53.2
AL092021,27-08-2021/00:00:00,18.3,80.2,0,-31.5,-46.7,-33.3,-58.4,-13.0,-16.8,23.5
AL092021,27-08-2021/06:00:00,19.4,80.9,0,-13.3,-11.6,-23.6,-25.7,-22.3,-21.2,-20.4
AL122021,31-08-2021/18:00:00,11.5,20.6,0,-30.2,-27.1,-43.1,-51.4,6.7,53.2,86.7
AL122021,01-09-2021/00:00:00,11.9,22.5,0,15.5,11.9,6.6,10.8,66.8,115.8,118.2
AL122021,01-09-2021/06:00:00,12.2,24.5,0,2.8,-12.5,-16.0,-18.6,33.7,44.4,48.5
AL122021,01-09-2021/12:00:00,12.4,26.5,0,-20.8,-36.5,-39.2,-20.6,6.6,-12.6,26.3
AL122021,01-09-2021/18:00:00,12.5,28.4,0,-25.8,-34.4,-21.0,0.4,2.6,-29.6,4.4
AL122021,02-09-2021/00:00:00,12.7,30.0,0,-17.7,-15.6,-6.3,5.1,-7.7,-34.9,-21.3
AL122021,02-09-2021/06:00:00,13.0,31.6,0,-8.7,-2.5,12.1,10.0,1.9,-18.1,-4.0
AL122021,02-09-2021/12:00:00,13.3,33.3,0,-5.9,3.3,7.7,7.9,-11.6,-1.4,-3.6
AL122021,03-09-2021/00:00:00,13.9,36.7,0,7.0,7.7,2.5,-4.8,-35.4,-21.3,-51.8
AL122021,03-09-2021/06:00:00,14.1,38.4,0,33.0,26.6,23.9,9.7,-20.5,-20.1,-49.8
AL122021,03-09-2021/12:00:00,14.4,40.0,0,9.0,5.4,-8.2,-24.3,-36.5,-57.2,-70.0
AL122021,03-09-2021/18:00:00,14.7,41.4,0,-2.5,-5.3,-21.2,-45.6,-41.0,-68.7,-43.3
AL122021,04-09-2021/00:00:00,15.2,42.7,0,-10.8,-17.9,-33.5,-50.3,-54.6,-91.0,-43.2
AL122021,04-09-2021/06:00:00,15.8,44.0,0,10.6,-3.4,-28.6,-28.6,-48.6,-88.1,-30.4
AL122021,04-09-2021/18:00:00,17.0,46.5,0,-3.4,-20.3,-19.3,-10.5,-43.0,-35.6,21.1
AL122021,05-09-2021/00:00:00,17.7,47.5,0,-8.3,-12.8,-3.6,1.9,-32.4,-9.9,48.5
AL122021,05-09-2021/06:00:00,18.4,48.5,0,-8.2,-3.1,11.8,4.1,-21.1,11.1,57.8
AL122021,05-09-2021/12:00:00,19.2,49.4,0,-5.6,15.3,20.7,11.1,-5.2,13.0,52.9
AL122021,05-09-2021/18:00:00,20.0,50.3,0,23.0,33.0,24.4,13.6,4.0,38.2,81.0
AL122021,06-09-2021/00:00:00,20.7,51.2,0,23.4,25.8,22.2,10.5,12.6,34.5,101.3
AL122021,06-09-2021/06:00:00,21.2,52.0,0,21.8,20.3,13.6,2.3,26.6,57.3,148.2
AL182021,22-09-2021/18:00:00,10.0,33.1,0,-17.9,-20.4,-16.6,0.4,18.9,37.6,-3.0
AL182021,23-09-2021/00:00:00,10.2,34.4,0,-11.0,-5.5,-4.2,5.6,19.6,18.8,-37.4
AL182021,23-09-2021/06:00:00,10.4,36.0,0,-0.8,3.6,13.5,15.1,26.5,12.5,-13.1
AL182021,23-09-2021/12:00:00,10.7,37.6,0,11.9,18.7,8.2,0.6,5.7,-18.1,-31.1
AL182021,23-09-2021/18:00:00,10.9,39.0,0,1.8,1.3,-11.4,-15.1,-4.2,-39.3,-36.0
AL182021,24-09-2021/00:00:00,11.1,40.3,0,-11.0,-19.9,-33.1,-25.9,-25.9,-62.3,-65.5
AL182021,24-09-2021/06:00:00,11.4,41.6,0,-7.6,-20.8,-20.8,-26.5,-37.5,-59.1,-62.4
AL182021,24-09-2021/12:00:00,11.6,43.0,0,-16.9,-27.9,-29.0,-34.0,-52.7,-67.3,-80.8
AL182021,24-09-2021/18:00:00,11.9,44.3,0,-20.8,-22.7,-26.5,-33.4,-59.0,-52.5,-66.0
AL182021,25-09-2021/00:00:00,12.3,45.4,0,-8.4,-16.5,-17.0,-42.3,-58.2,-50.8,-65.9
AL182021,25-09-2021/06:00:00,12.6,46.3,0,1.9,-3.8,-8.4,-29.2,-36.1,-30.8,-47.1
AL182021,25-09-2021/12:00:00,12.8,47.2,0,-3.1,-1.9,-16.5,-26.3,-34.4,-30.1,-55.5
AL182021,26-09-2021/00:00:00,13.4,48.8,0,13.2,-11.7,-13.1,-20.8,-14.7,-27.8,-34.2
AL182021,26-09-2021/06:00:00,13.6,49.4,0,-4.2,-29.2,-27.2,-27.9,-24.0,-27.9,-47.0
AL182021,26-09-2021/12:00:00,13.8,50.0,0,-31.7,-32.9,-45.7,-41.0,-41.0,-52.8,-81.4
AL182021,26-09-2021/18:00:00,14.1,50.3,0,-20.8,-25.7,-32.8,-24.6,-26.0,-36.5,-53.0
AL182021,27-09-2021/00:00:00,14.5,50.6,0,-1.6,-8.3,-8.2,-4.9,-13.3,-21.0,-25.6
AL182021,27-09-2021/18:00:00,15.9,52.3,0,4.9,8.2,12.8,4.4,-8.0,-5.3,-20.8
AL182021,28-09-2021/06:00:00,16.9,53.5,0,9.8,9.0,5.1,5.5,1.0,27.6,-86.2
AL182021,29-09-2021/00:00:00,18.1,55.3,0,-3.4,-12.0,-20.6,-19.4,6.3,28.3,-64.7
AL182021,29-09-2021/12:00:00,19.1,56.6,0,-3.8,-7.2,-9.3,-2.7,7.4,7.5,-62.2
AL212021,31-10-2021/00:00:00,36.5,46.0,0,45.2,-32.9,-15.5,27.4,27.3,4.5,-149.9
AL212021,31-10-2021/06:00:00,36.6,44.2,0,-26.4,-63.0,-30.0,25.2,46.0,75.8,-383.9
AL212021,31-10-2021/12:00:00,36.5,43.4,0,-45.0,-68.9,-5.4,22.7,36.7,106.1,-450.5
AL212021,31-10-2021/18:00:00,36.4,43.5,0,-49.3,-66.0,-22.5,6.0,-0.7,90.0,-292.9
AL212021,01-11-2021/00:00:00,35.8,44.0,0,-44.7,-44.1,-45.4,-17.7,-9.1,-13.0,-131.3
AL212021,01-11-2021/06:00:00,34.8,44.2,0,-12.0,-28.0,-37.7,-40.3,-13.5,-91.8,-155.9
AL212021,01-11-2021/12:00:00,34.1,43.4,0,13.7,3.8,10.2,-14.7,31.2,-213.1,-244.2
AL212021,01-11-2021/18:00:00,34.1,42.6,0,8.4,7.4,6.6,-6.1,48.9,-220.9,-405.7
AL212021,02-11-2021/06:00:00,34.9,41.3,0,10.8,11.2,-5.1,9.0,-78.5,-158.8,84.4
AL022022,01-07-2022/06:00:00,11.6,78.5,0,4.5,16.1,6.0,28.2,33.1,51.0,65.0
AL022022,01-07-2022/12:00:00,11.3,80.2,0,4.5,-10.7,-6.0,10.6,3.0,13.6,34.4
AL022022,01-07-2022/18:00:00,11.2,81.8,0,6.8,6.0,17.6,27.4,33.9,34.5,31.5
AL022022,02-07-2022/06:00:00,11.1,84.5,0,6.0,11.7,11.6,4.0,15.1,23.6,-10.1
AL052022,02-09-2022/00:00:00,37.9,44.1,0,-6.0,-18.6,-6.0,1.4,15.2,42.1,-2.7
AL052022,02-09-2022/06:00:00,37.8,43.8,0,7.4,-12.0,-6.0,18.0,35.5,68.9,32.4
AL052022,02-09-2022/12:00:00,37.8,43.6,0,11.1,6.0,-2.8,52.6,49.1,86.3,69.5
AL062022,03-09-2022/00:00:00,18.3,59.8,0,-1.7,2.5,-1.0,-20.4,-138.7,-119.3,-64.4
AL062022,03-09-2022/12:00:00,18.9,61.9,0,5.7,13.2,12.4,-63.9,-16.1,-4.0,59.5
AL062022,03-09-2022/18:00:00,19.2,62.9,0,9.4,15.9,-27.5,-66.7,-49.3,7.5,101.0
AL062022,04-09-2022/00:00:00,19.4,63.6,0,-11.1,-8.1,-78.5,-94.2,-61.2,-6.9,113.6
AL062022,04-09-2022/18:00:00,20.0,65.0,0,14.3,-11.1,-7.2,5.5,21.6,74.5,103.2
AL062022,05-09-2022/06:00:00,20.8,65.4,0,-16.7,-23.7,-5.5,1.1,5.3,33.5,-9.2
AL062022,05-09-2022/12:00:00,21.5,65.2,0,-5.5,16.2,12.6,3.9,30.1,37.4,-116.6
AL072022,14-09-2022/12:00:00,16.4,49.1,0,6.0,25.4,50.0,72.0,48.3,-10.0,-113.5
AL072022,14-09-2022/18:00:00,16.6,50.1,0,23.3,40.8,73.1,54.5,61.0,-26.6,-25.0
AL072022,15-09-2022/00:00:00,16.6,51.3,0,30.9,60.2,84.0,54.3,78.0,18.9,-10.6
AL072022,15-09-2022/06:00:00,16.5,52.4,0,23.4,55.6,50.6,51.9,26.6,33.5,16.4
AL072022,15-09-2022/12:00:00,16.4,53.6,0,29.7,54.0,31.9,46.6,23.5,31.9,37.2
AL072022,15-09-2022/18:00:00,16.3,54.8,0,26.5,22.1,26.9,34.8,-12.1,5.6,1.8
AL072022,16-09-2022/00:00:00,16.1,56.2,0,24.0,7.0,20.3,36.0,-30.2,-39.5,-23.8
AL072022,16-09-2022/06:00:00,15.8,57.5,0,-15.7,-0.6,6.8,-15.9,-13.8,-45.1,-38.7
AL072022,16-09-2022/12:00:00,15.8,58.8,0,-10.0,10.2,30.0,-20.3,-42.4,-37.9,-25.0
AL072022,16-09-2022/18:00:00,16.3,60.4,0,31.0,33.9,8.1,-31.7,-27.0,-21.1,-23.6
AL072022,17-09-2022/00:00:00,16.4,61.6,0,30.5,54.0,4.8,1.9,-10.0,-5.5,-16.6
AL072022,17-09-2022/06:00:00,16.3,62.6,0,5.1,-10.6,-35.0,18.7,4.1,16.5,-5.1
AL072022,17-09-2022/12:00:00,16.4,63.3,0,6.0,10.2,15.1,41.6,59.0,62.1,53.3
AL072022,17-09-2022/18:00:00,16.5,64.0,0,21.3,21.0,51.2,44.6,69.6,46.8,51.1
AL072022,18-09-2022/00:00:00,16.5,64.7,0,4.7,9.4,29.0,34.4,71.9,53.6,62.5
AL072022,18-09-2022/12:00:00,17.2,66.2,0,-1.9,26.0,38.8,61.0,56.5,52.5,-3.4
AL072022,18-09-2022/18:00:00,17.8,66.9,0,31.5,32.0,49.1,58.2,44.9,63.8,18.5
AL082022,20-09-2022/12:00:00,32.5,45.8,0,-15.8,4.2,23.5,23.6,140.6,187.7,146.6
AL082022,20-09-2022/18:00:00,34.0,45.0,0,3.6,9.5,11.0,29.8,141.2,187.0,267.6
AL092022,23-09-2022/12:00:00,14.2,69.3,0,-11.9,9.5,37.3,84.1,83.7,44.2,22.2
AL092022,23-09-2022/18:00:00,14.6,70.6,0,6.0,34.2,60.0,56.3,63.9,-10.6,-24.5
AL092022,24-09-2022/00:00:00,14.7,71.7,0,7.9,37.3,82.1,65.6,54.8,-8.7,-45.7
AL092022,24-09-2022/06:00:00,14.7,72.9,0,9.4,36.0,57.9,49.9,19.3,-23.6,-58.1
AL092022,24-09-2022/12:00:00,14.5,74.4,0,-2.5,38.3,16.4,8.1,-27.7,-63.1,-109.0
AL092022,25-09-2022/00:00:00,14.6,77.2,0,18.9,-11.9,-18.0,-32.2,-90.7,-114.6,-184.7
AL092022,25-09-2022/06:00:00,14.6,78.3,0,0.5,-15.5,-22.7,-39.8,-99.9,-118.6,-223.2
AL092022,25-09-2022/12:00:00,15.0,79.4,0,-20.1,-24.7,-32.2,-44.4,-104.1,-157.2,-236.2
AL092022,25-09-2022/18:00:00,15.8,80.1,0,-6.8,-9.9,-16.7,-38.6,-88.3,-130.7,-205.0
