parameters,along,cross,track,intensity
c,0.0,0.0,0.0,0.0
rho,1.1161743395081147,1.08864677611642,1.045464744376696,0.9759506655708793
sigma,39.124534181674406,33.183191816086776,0.37643175967834197,8.034477948945733
