,012h,024h,036h,048h,072h,096h,120h
012h,1.0,0.7,0.54,0.43,0.26,0.16,0.16
024h,0.7,1.0,0.82,0.65,0.41,0.26,0.25
036h,0.54,0.82,1.0,0.88,0.62,0.4,0.32
048h,0.43,0.65,0.88,1.0,0.79,0.52,0.41
072h,0.26,0.41,0.62,0.79,1.0,0.77,0.5
096h,0.16,0.26,0.4,0.52,0.77,1.0,0.74
120h,0.16,0.25,0.32,0.41,0.5,0.74,1.0
